date,timestamp,metal,exchange,currency,price,prev_close_price,ch,chp
2021-11-04,1636021800000,XAU,LBMA,USD,1778.1,1781.85,-3.75,-0.2109
2021-11-05,1636108200000,XAU,LBMA,USD,1793.2,1778.1,15.1,0.8421
2021-11-06,1636194600000,XAU,LBMA,USD,1793.2,1793.2,0.0,0.0
2021-11-07,1636281000000,XAU,LBMA,USD,1793.2,1793.2,0.0,0.0
2021-11-08,1636367400000,XAU,LBMA,USD,1818.0,1793.2,24.8,1.3641
2021-11-09,1636453800000,XAU,LBMA,USD,1824.4,1818.0,6.4,0.3508
2021-11-10,1636540200000,XAU,LBMA,USD,1824.95,1824.4,0.55,0.0301
2021-11-11,1636626600000,XAU,LBMA,USD,1859.25,1824.95,34.3,1.8448
2021-11-12,1636713000000,XAU,LBMA,USD,1850.0,1859.25,-9.25,-0.5
2021-11-13,1636799400000,XAU,LBMA,USD,1850.0,1850.0,0.0,0.0
2021-11-14,1636885800000,XAU,LBMA,USD,1850.0,1850.0,0.0,0.0
2021-11-15,1636972200000,XAU,LBMA,USD,1863.8,1850.0,13.8,0.7404
2021-11-16,1637058600000,XAU,LBMA,USD,1872.25,1863.8,8.45,0.4513
2021-11-17,1637145000000,XAU,LBMA,USD,1858.45,1872.25,-13.8,-0.7426
2021-11-18,1637231400000,XAU,LBMA,USD,1860.5,1858.45,2.05,0.1102
